iteration,start_time,end_time,latency_ms
0,400289.0446094,400289.0966077,51.99830001220107
1,400289.0966192,400289.1748588,78.23959999950603
2,400289.1748699,400289.2455429,70.6730000092648
3,400289.2455662,400289.3299181,84.35189997544512
4,400289.3299434,400289.409976,80.03260003169999
5,400289.4100017,400289.4772427,67.2410000115633
6,400289.477268,400289.5459467,68.6786999576725
7,400289.5459676,400289.6302601,84.2924999888055
8,400289.6302856,400289.6884681,58.18249995354563
9,400289.6884941,400289.7640896,75.59550000587478
10,400289.764115,400289.846252,82.13699999032542
11,400289.8462797,400289.9003481,54.06840000068769
12,400289.9003734,400289.9757647,75.39129996439442
13,400289.9757923,400290.0587081,82.91579998331144
14,400290.0587265,400290.1121133,53.38679999113083
15,400290.1121338,400290.1673602,55.22640002891421
16,400290.1674077,400290.246201,78.79330002469942
17,400290.2462226,400290.3138244,67.60180002311245
18,400290.3138454,400290.3960681,82.22270000260323
19,400290.3960936,400290.460592,64.49839996639639
20,400290.4606172,400290.5290979,68.48070002160966
21,400290.5291215,400290.6090853,79.96380003169179
22,400290.6091112,400290.6633804,54.26919995807111
23,400290.6634073,400290.7438686,80.46129997819662
24,400290.7438797,400290.8084389,64.5591999636963
25,400290.8084645,400290.8626062,54.14169997675344
26,400290.8626317,400290.9273896,64.75790002150461
27,400290.9274148,400290.9833733,55.95850001554936
28,400290.9833997,400291.0423127,58.91299998620525
29,400291.042337,400291.0996574,57.32039996655658
30,400291.0996837,400291.1546791,54.99539995798841
31,400291.1547042,400291.2136039,58.89970000134781
32,400291.2136296,400291.2941088,80.47919999808073
33,400291.2941382,400291.3620084,67.87020002957433
34,400291.3620359,400291.4291016,67.06570001551881
35,400291.42913,400291.4952413,66.11130002420396
36,400291.4952667,400291.5561822,60.915499983821064
37,400291.5562093,400291.6411919,84.9826000048779
38,400291.6412174,400291.713982,72.76459998684004
39,400291.7140067,400291.792299,78.29230005154386
40,400291.7923276,400291.865333,73.00540001597255
41,400291.8653613,400291.947314,81.95269998395815
42,400291.9473419,400292.032569,85.22709994576871
43,400292.0325945,400292.113782,81.18749997811392
44,400292.1138103,400292.1675612,53.75089996960014
45,400292.167586,400292.2410409,73.45490000443533
46,400292.2410537,400292.3122324,71.17870001820847
47,400292.312258,400292.3789597,66.70169997960329
48,400292.3789723,400292.4448139,65.84160000784323
49,400292.4448395,400292.5100747,65.23519998881966
50,400292.5101026,400292.5821413,72.03870004741475
51,400292.5821771,400292.6602626,78.08549999026582
52,400292.6602898,400292.7281441,67.85429996671155
53,400292.7281715,400292.7951919,67.02039996162057
54,400292.7952187,400292.8514289,56.21019995305687
55,400292.8514565,400292.9123804,60.92389998957515
56,400292.9124053,400292.979604,67.19869998050854
57,400292.9796295,400293.0586519,79.02239996474236
58,400293.0586773,400293.1293,70.62269997550175
59,400293.1293274,400293.2068265,77.4991000071168
60,400293.2068531,400293.2776045,70.75140002416447
61,400293.2776304,400293.348017,70.38659998215735
62,400293.3480447,400293.4303103,82.2656000382267
63,400293.4303354,400293.490421,60.085600009188056
64,400293.4904495,400293.5618384,71.38890004716814
65,400293.5618655,400293.6444409,82.57540001068264
66,400293.6444687,400293.7010099,56.54120002873242
67,400293.7010349,400293.7751599,74.12500004284084
68,400293.7751862,400293.841552,66.36580004123971
69,400293.8415799,400293.9307633,89.18339997762814
70,400293.9307884,400294.0128688,82.08040002500638
71,400294.0128968,400294.0986373,85.74050001334399
72,400294.0986617,400294.175831,77.1692999987863
73,400294.1758587,400294.2360545,60.19579997519031
74,400294.2360671,400294.2895812,53.5140999709256
75,400294.2896057,400294.3606785,71.07279996853322
76,400294.360706,400294.4181726,57.46659997384995
77,400294.418203,400294.49475,76.54700003331527
78,400294.4947748,400294.551972,57.19719995977357
79,400294.5519976,400294.6239556,71.95800001500174
80,400294.623982,400294.6856562,61.674199998378754
81,400294.6856842,400294.7601353,74.45109996479005
82,400294.7601604,400294.8242892,64.12880000425503
83,400294.8243151,400294.8784879,54.172800038941205
84,400294.8785153,400294.9463941,67.87880003685132
85,400294.9464206,400295.024646,78.22540000779554
86,400295.0246736,400295.0944131,69.73950000246987
87,400295.0944388,400295.1616123,67.17350002145395
88,400295.1616373,400295.2413966,79.75929998792708
89,400295.2414239,400295.3112641,69.84020001254976
90,400295.3112801,400295.3776977,66.41759997000918
91,400295.3777225,400295.4471152,69.39269998110831
92,400295.4471319,400295.5101076,62.97570001333952
93,400295.5101285,400295.5803611,70.23259997367859
94,400295.5803862,400295.6602069,79.82069998979568
95,400295.6602341,400295.7186105,58.37639997480437
96,400295.7186521,400295.7983321,79.67999996617436
97,400295.798357,400295.8812544,82.89740001782775
98,400295.8812795,400295.961119,79.83949995832518
99,400295.9611461,400296.0306578,69.51169995591044
